#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:58:36       2    261     68      -     63     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:36       3    189     68      -     99      0      0      0      0      0  13801   2955      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:58:37       0    231     72      -     48     19      0      0      0      0  13801   2835      0      0 
 20260602    17:58:37       1    212     56      -     55     15      0      0      0      0  13801   2887      0      0 
 20260602    17:58:37       2    187     66      -    100      0      0      0      0      0  13801   2880      0      0 
 20260602    17:58:37       3    172     71      -    100      0      0      0      0      0  13801   2947      0      0 
 20260602    17:58:38       0    237     73      -     46     14      0      0      0      0  13801   2835      0      0 
 20260602    17:58:38       1    218     56      -     51     18      0      0      0      0  13801   2880      0      0 
 20260602    17:58:38       2    235     67      -     54     19      0      0      0      0  13801   2872      0      0 
 20260602    17:58:38       3    246     71      -     43     20      0      0      0      0  13801   2940      0      0 
 20260602    17:58:39       0    253     73      -     66     20      0      0      0      0  13801   2850      0      0 
 20260602    17:58:39       1    225     56      -     64     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:39       2    257     68      -     17      2      0      0      0      0  13801   2887      0      0 
 20260602    17:58:39       3    256     72      -     37     12      0      0      0      0  13801   2955      0      0 
 20260602    17:58:40       0    243     74      -     66     21      0      0      0      0  13801   2850      0      0 
 20260602    17:58:40       1    220     55      -     59     15      0      0      0      0  13801   2895      0      0 
 20260602    17:58:40       2    244     67      -     61     20      0      0      0      0  13801   2887      0      0 
 20260602    17:58:40       3    259     71      -     66     26      0      0      0      0  13801   2955      0      0 
 20260602    17:58:41       0    252     73      -     30      6      0      0      0      0  13801   2850      0      0 
 20260602    17:58:41       1    220     57      -     63     17      0      0      0      0  13801   2895      0      0 
 20260602    17:58:41       2    247     65      -     64     20      0      0      0      0  13801   2887      0      0 
