#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:52:39       0    250     72      -     66     20      0      0      0      0  13801   2850      0      0 
 20260602    17:52:40       0    246     74      -     64     20      0      0      0      0  13801   2850      0      0 
 20260602    17:52:41       0    245     74      -     52     19      0      0      0      0  13801   2835      0      0 
 20260602    17:52:42       0    252     73      -     53     17      0      0      0      0  13801   2842      0      0 
 20260602    17:52:43       0    245     73      -     62     20      0      0      0      0  13801   2850      0      0 
 20260602    17:52:44       0    264     74      -     69     25      0      0      0      0  13801   2850      0      0 
 20260602    17:52:45       0    248     74      -     66     21      0      0      0      0  13801   2850      0      0 
 20260602    17:52:46       0    255     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:52:47       0    258     74      -     40     10      0      0      0      0  13801   2850      0      0 
 20260602    17:52:48       0    246     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:52:49       0    264     73      -     68     22      0      0      0      0  13801   2850      0      0 
 20260602    17:52:50       0    250     73      -     63     19      0      0      0      0  13801   2850      0      0 
 20260602    17:52:51       0    252     72      -     26      5      0      0      0      0  13801   2850      0      0 
 20260602    17:52:52       0    243     73      -     64     20      0      0      0      0  13801   2850      0      0 
 20260602    17:52:53       0    252     73      -     60     19      0      0      0      0  13801   2850      0      0 
 20260602    17:52:54       0    266     74      -     66     20      0      0      0      0  13801   2850      0      0 
 20260602    17:52:55       0    248     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:52:56       0    259     74      -     46     13      0      0      0      0  13801   2842      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool 
 20260602    17:52:57       0    250     74      -     64     20      0      0      0      0  13801   2850      0      0 
 20260602    17:52:58       0    254     74      -     64     20      0      0      0      0  13801   2842      0      0 
 20260602    17:52:59       0    258     74      -     66     20      0      0      0      0  13801   2850      0      0 
 20260602    17:53:00       0    254     73      -     65     21      0      0      0      0  13801   2850      0      0 
 20260602    17:53:01       0    245     71      -     24      7      0      0      0      0  13801   2850      0      0 
 20260602    17:53:02       0    251     73      -     50     20      0      0      0      0  13801   2835      0      0 
 20260602    17:53:03       0    248     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:53:04       0    267     74      -     63     20      0      0      0      0  13801   2850      0      0 
 20260602    17:53:05       0    249     73      -     67     21      0      0      0      0  13801   2850      0      0 
 20260602    17:53:06       0    255     71      -     32      8      0      0      0      0  13801   2850      0      0 
 20260602    17:53:07       0    263     73      -     76     27      0      0      0      0  13801   2850      0      0 
 20260602    17:53:08       0    254     73      -     64     20      0      0      0      0  13801   2850      0      0 
 20260602    17:53:09       0    264     73      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:53:10       0    244     74      -     66     20      0      0      0      0  13801   2850      0      0 
 20260602    17:53:11       0    253     72      -     16      1      0      0      0      0  13801   2850      0      0 
 20260602    17:53:12       0    265     74      -     65     20      0      0      0      0  13801   2842      0      0 
 20260602    17:53:13       0    253     73      -     61     19      0      0      0      0  13801   2842      0      0 
 20260602    17:53:14       0    257     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:53:15       0    249     74      -     66     21      0      0      0      0  13801   2850      0      0 
 20260602    17:53:16       0    246     71      -     30      8      0      0      0      0  13801   2850      0      0 
 20260602    17:53:17       0    252     74      -     62     20      0      0      0      0  13801   2850      0      0 
 20260602    17:53:18       0    250     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:53:19       0    246     71      -     34      9      0      0      0      0  13801   2850      0      0 
 20260602    17:53:20       0    252     74      -     65     20      0      0      0      0  13801   2850      0      0 
 20260602    17:53:21       0    253     74      -     66     21      0      0      0      0  13801   2850      0      0 
 20260602    17:53:22       0    242     71      -     79      1      0      0      0      0  13801   2850      0      0 
 20260602    17:53:23       0    223     73      -     47     19      0      0      0      0  13801   2835      0      0 
 20260602    17:53:24       0    246     71      -     35      9      0      0      0      0  13801   2850      0      0 
